sample_id,id,parent_context,thread_title,sentence,human_has_quad,human_aspect,human_category_label,human_opinion,human_sentiment_label,human_quads_json,notes
HV900_0707,nkhvbkz,"GLM 4.6 (running in Claude CLI) is pretty damn amazing. It's like having a smart, if inexperienced, intern. Just gotta watch it when it fixes things to make sure it's not tacking on too many specific fixes/fallbacks when there's a simpler, more elegant solution. Or if it misdiagnoses the problem, gotta interrupt it before it gets five levels deep into trying to fix the wrong thing. Most of the time, though, it just nails bug fixes and feature requests!",Best local llms october 2025,> GLM 4.6 (running in Claude CLI) is pretty damn amazing. Exactly what I'm doing actually just using their api. It's so good!,Yes,GLM 4.6,INTELLIGENCE,so good,Positive,"[{""aspect"":""GLM 4.6"",""category"":""INTELLIGENCE"",""opinion"":""so good"",""sentiment"":""Positive""}]",
HV900_0233,o6ma12y,,Ollama fim model suggestion,"recently i tried [sweep-next-edit]( in terms of performance it really fast on zed with ollama provider especially the [0.5B]( version, but the output is meh",Yes,Multi,Multi,Multi,Mixed,"[{""aspect"":""sweep-next-edit"",""opinion"":""really fast"",""category"":""PERFORMANCE"",""sentiment"":""Positive""},{""aspect"":""sweep-next-edit"",""opinion"":""output is meh"",""category"":""INTELLIGENCE"",""sentiment"":""Negative""}]",
HV900_0174,o81p9gs,,"PSA: If your local coding agent feels ""dumb"" at 30k+ context, check your KV cache quantization first.","In the case of Qwen3CoderNext I had to switch to nvfp4 quant and use it with sglang, giving up on llama-server.",Yes,Qwen3CoderNext,TECHNICAL,had to switch to nvfp4 quant,Neutral,"[{""aspect"":""Qwen3CoderNext"",""category"":""TECHNICAL"",""opinion"":""had to switch to nvfp4 quant"",""sentiment"":""Neutral""}]",
HV900_0269,nu961j6,,Im strong enough to admit that this bugs the hell,gpt-oss-120b will sneeze at that and happily do it.,Yes,gpt-oss-120b,PERFORMANCE,sneeze at that and happily do it,Positive,"[{""aspect"":""gpt-oss-120b"",""category"":""PERFORMANCE"",""opinion"":""sneeze at that and happily do it"",""sentiment"":""Positive""}]",
HV900_0360,obklid0,I was hopeful AMD would announce native MXPF4 support so we don't end up with the nvidia tax on knowledge for our future. They're part of the open body but i've yet to hear of any product support and NVFP4 success should have lit the fire under AMD's but to think about it.,Mxfp4 kernel rdna 4 qwen35 122b quad r9700s,"Yeah exactly. I got sick of waiting. I have an nvfp4 dewuant as well, and now that fp8 is working on rdna from other commits I can dewuant it to fp8. Will be the next kernel I integrate.",Yes,it,TECHNICAL,fp8 is working on rdna,Positive,"[{""aspect"":""it"",""category"":""TECHNICAL"",""opinion"":""fp8 is working on rdna"",""sentiment"":""Positive""}]",
HV900_0197,nm2k4i4,,Heres the best prompt you will ever need to test,Qwen 235B got the path but didn't make the final connection,Yes,Qwen 235,INTELLIGENCE,got the path but didn't make the final connection,Negative,"[{""aspect"":""Qwen 235"",""category"":""INTELLIGENCE"",""opinion"":""got the path but didn't make the final connection"",""sentiment"":""Negative""}]",
HV900_0773,nmvhoga,"Looks like some subtitle platform [ Not a surprise, OpenAI & everyone else have basically scraped the entire internet. The only thing surprising is that such a text piece would be generated by GPT-5 at this point.",Chatgpt leaked its own training data source in my,it is surprising that they haven't removed these tags from their training set,Yes,they,TECHNICAL,haven't removed these tags from their training set,Negative,"[{""aspect"":""they"",""category"":""TECHNICAL"",""opinion"":""haven't removed these tags from their training set"",""sentiment"":""Negative""}]",
HV900_0265,obfum0t,,Mathematics behind extreme quantization of,Also trying to quantize a qwen 2.5 model (the 3.5 versions have very different architectures so I haven't tried dabbling much there),Yes,qwen 2.5,TECHNICAL,trying to quantize,Neutral,"[{""aspect"":""qwen 2.5"",""category"":""TECHNICAL"",""opinion"":""trying to quantize"",""sentiment"":""Neutral""}]",
HV900_0765,odk1op0,Easiest way is through the Claude desktop app in the settings. My Claude is calling me princess 👸…,Claude code source code has been leaked via a map,I told mine to bring the energy of a racoon who has just learned to speak and loves to swear. I got this gem yesterday: *Holy absolute trash panda Christmas. There it is — sitting right in localStorage like an unlocked dumpster behind a five-star restaurant.*,Yes,mine,BEHAVIOR,I got this gem yesterday,Positive,"[{""aspect"":""mine"",""category"":""BEHAVIOR"",""opinion"":""I got this gem yesterday"",""sentiment"":""Positive""}]",
HV900_0166,nh1kcpz,"Correct. I was going to write the same comment. OSS-120B is on par with 4.5 Air, except Air is way better with UI. OSS-120B is better at some backend-related tasks.",Amd tested 20 local models for coding only 2,How much vram\ram do you need for oss 120B? I’ve been very impressed with the 20B that I ordered 32GBof ram last night lol,Yes,oss 120B,INTELLIGENCE,very impressed with the 20B,Positive,"[{""aspect"":""oss 120B"",""category"":""INTELLIGENCE"",""opinion"":""very impressed with the 20B"",""sentiment"":""Positive""}]",
HV900_0451,o9yr5bp,"Thank you. ~0,0025 is very nice! particularly when it comes to small models. I'm done for now but I'll definitely take a look at your figures, I'm super interested.",Qwen359b quantization comparison,"It *is* nice when you compare it to standard weight quantization loss but when compared with other models it's pretty high: As you can see i'll also be evaluating Qwen3 (vl), as well as Gemma 3 (not pictured) Actually if you have any models under 12B to suggest (possibly different foundation models) i'd be happy to include them",Yes,Multi,Multi,Multi,Mixed,"[{""aspect"":""It"",""category"":""COMPARATIVE"",""opinion"":""nice when you compare it to standard weight quantization loss"",""sentiment"":""Positive""},{""aspect"":""it"",""category"":""COMPARATIVE"",""opinion"":""when compared with other models it's pretty high"",""sentiment"":""Negative""}]",
HV900_0850,nc1h322,Llama 4 Maverick > DeepSeek r1 is not the take I was expecting.,Artificial analysis intelligence index now,"The big Llama 4 (maverick) was never that bad, for vision it is still very strong. Particularly after fine tune as it is a bit janky.",Yes,Multi,Multi,Multi,Mixed,"[{""aspect"":""The big Llama 4 (maverick)"",""category"":""INTELLIGENCE"",""opinion"":""for vision it is still very strong"",""sentiment"":""Positive""},{""aspect"":""it"",""category"":""BEHAVIOR"",""opinion"":""a bit janky"",""sentiment"":""Negative""}]",
HV900_0381,o7ed0y5,,Distillation when you do it training when we do it,"Like another comment mentioned, anthropic distilled deepseek after deepseek came up with thinking.",Yes,deepseek,INTELLIGENCE,came up with thinking,Positive,"[{""aspect"":""deepseek"",""category"":""INTELLIGENCE"",""opinion"":""came up with thinking"",""sentiment"":""Positive""}]",
HV900_0673,nl0zd56,,Llama2 may not be as smart as newer llms but it,Encouraging me to fire up midnight miqu again and see how it does on modern samplers. Stock llama models were hella undertrained but the finetunes were good.,Yes,Multi,Multi,Multi,Mixed,"[{""aspect"":""Llama"",""category"":""TECHNICAL"",""opinion"":""Stock llama models were hella undertrained"",""sentiment"":""Negative""},{""aspect"":""Llama"",""category"":""TECHNICAL"",""opinion"":""the finetunes were good"",""sentiment"":""Positive""}]",
HV900_0218,ocws3pr,Did llama.cpp not support q4 cache on macbooks? Going from like 4 bit to 3 bit context did that much for you? With nobody writing any PPL/KLD numbers or comparing to anything else? The ones I saw in ik_llama github issues were less than exciting.,Google turboquant running qwen locally on macair,"Turbo is 3 bits but keep coherence of the model, compared to Q4, which degrades it too much to be useful",Yes,Multi,Multi,Multi,Mixed,"[{""aspect"":""Turbo"",""category"":""TECHNICAL"",""opinion"":""keep coherence of the model"",""sentiment"":""Positive""},{""aspect"":""Q4"",""category"":""TECHNICAL"",""opinion"":""degrades it too much to be useful"",""sentiment"":""Negative""}]",
HV900_0816,my8d89f,,Increasingly disappointed with small local models,I really do not get people who join Localllama and then start telling left and right how big modelos like chatgpt or claude are better.,Yes,chatgpt or claude,COMPARATIVE,are better,Positive,"[{""aspect"":""chatgpt or claude"",""opinion"":""are better"",""category"":""COMPARATIVE"",""sentiment"":""Positive""}]",
HV900_0827,n75qbz1,"Coding on gps-oss is kinda meh Tried the 20b on and it produced python code with syntax errors. My initial impressions is that Qwen3-30b is vastly superior. The 120B is better and certainly has a interesting style of modifying code or fixing bugs, but it doesn't look as strong as Qwen 235B. Maybe it is better at other non-coding categories though.",Gptoss120b outperforms deepseekr10528 in,Tbh 235b vs 120b is quite the unfair comparison lol,Yes,Multi,Multi,Multi,Neutral,"[{""aspect"":""235b"",""category"":""COMPARATIVE"",""opinion"":""235b vs 120b is quite the unfair comparison"",""sentiment"":""Neutral""},{""aspect"":""120b"",""category"":""COMPARATIVE"",""opinion"":""235b vs 120b is quite the unfair comparison"",""sentiment"":""Neutral""}]",
HV900_0748,mzt15po,"this, u/TheLocalDrummer, Mistral Small 3.2 is worth checking out for fine-tunning, your models are always a welcomed surprise, quality guaranteed",Cydonia 24b v31 just another rp tune with some,"He already knows about it, the new skyfall 31B is based on mistral 3.2.",Yes,skyfall 31B,TECHNICAL,is based on mistral 3.2,Neutral,"[{""aspect"":""skyfall 31B"",""category"":""TECHNICAL"",""opinion"":""is based on mistral 3.2"",""sentiment"":""Neutral""}]",
HV900_0620,nbo8p8t,,Built a 7k workstation to run gptoss 120b locally,For me it was not much of a hassle for gpt-oss MacBook 128 gb ram with gguf got model up and running using llama-server. Using tailscale to access from outside,Yes,gpt-oss,SOFTWARE,not much of a hassle,Positive,"[{""aspect"":""gpt-oss"",""category"":""SOFTWARE"",""opinion"":""not much of a hassle"",""sentiment"":""Positive""}]",
HV900_0461,nxznumi,,Benchmark results for 671b deepseek in llamacpp,"Those numbers look pretty solid for Q4\_K\_M, getting \~40 t/s for generation is actually respectable for a 671B model. The batched results show nice scaling too - 16 batch hitting 903 t/s throughput is wild How's the quality compared to the original with lightning tensors? Any noticeable degradation or pretty much the same",Yes,Multi,Multi,Multi,Positive,"[{""aspect"":""Q4_K_M"",""category"":""TECHNICAL"",""opinion"":""pretty solid for Q4_K_M"",""sentiment"":""Positive""},{""aspect"":""671B model"",""category"":""PERFORMANCE"",""opinion"":""getting ~40 t/s for generation is actually respectable for a 671B model"",""sentiment"":""Positive""},{""aspect"":""The batched results"",""category"":""PERFORMANCE"",""opinion"":""show nice scaling"",""sentiment"":""Positive""},{""aspect"":""16 batch"",""category"":""PERFORMANCE"",""opinion"":""16 batch hitting 903 t/s throughput is wild"",""sentiment"":""Positive""}]",
HV900_0439,nryg4gz,Deepseek is very math focused. They have dedicated prover models,Deepseek v32 speciale dominates my math bench,"> They have dedicated prover models Oh, cool! Since I am perpetually out of the loop these days, any that you can recommend?",Yes,prover models,INTELLIGENCE,dedicated prover models,Positive,"[{""aspect"":""prover models"",""category"":""INTELLIGENCE"",""opinion"":""dedicated prover models"",""sentiment"":""Positive""}]",
HV900_0859,ns1353j,,Im a complete beginner interested in large,Start with Ollama or LM Studio - easiest setup.,Yes,Multi,Multi,Multi,Positive,"[{""aspect"":""Ollama"",""category"":""SOFTWARE"",""opinion"":""easiest setup"",""sentiment"":""Positive""},{""aspect"":""LM Studio"",""category"":""SOFTWARE"",""opinion"":""easiest setup"",""sentiment"":""Positive""}]",
HV900_0550,nh4apvu,,No glm46 air version is coming out,"Plenty of people can self host the full model. Even if not everyone can, so? It’s more tools to run through a provider, and for the community to learn from and iterate on. Should Deepseek stop releasing models because not many people can run 671b parameters locally?",Yes,the full model,RESOURCES,Plenty of people can self host the full model,Positive,"[{""aspect"":""the full model"",""category"":""RESOURCES"",""opinion"":""Plenty of people can self host the full model"",""sentiment"":""Positive""}]",
HV900_0061,ocr7a0t,,Consolidated my homelab from 3 models down to one,Also keen to test nemotron 3 super but seen some bugs on llama and waiting for more stable update.,Yes,Multi,Multi,Multi,Mixed,"[{""aspect"":""nemotron 3 super"",""category"":""PERFORMANCE"",""opinion"":""waiting for more stable update"",""sentiment"":""Neutral""},{""aspect"":""nemotron 3 super"",""category"":""RESOURCES"",""opinion"":""seen some bugs"",""sentiment"":""Negative""}]",
HV900_0424,o2n6i8n,It's officially supported as of recently. No need for proxies,Opencode llamacpp glm47 flash claude code at home,"The catch is - it's either / or. You could run Claude Code with the Anthropic API endpoint, or you could run it with your local OpenAI API endpoint. Not both at once. If you want both at once, that's when proxies become necessary. At least that's my current understanding, I'm trying to get a chunk of time to test this soon. I could be wrong about it.",Yes,Multi,Multi,Multi,Negative,"[{""aspect"":""Claude Code"",""category"":""SOFTWARE"",""opinion"":""Not both at once"",""sentiment"":""Negative""},{""aspect"":""Claude Code"",""category"":""SOFTWARE"",""opinion"":""proxies become necessary"",""sentiment"":""Negative""}]",
HV900_0756,n8g7vgn,"> Peak safety theater: gpt-oss-120b refuses to discuss implementing web search in llama.cpp Every single time somebody posts something like that, I try to reproduce it in Ollama running gpt-oss-120b in native MXFP4, and I **never** get these refusals... This time: This was followed with A LOT of instructions and code. I don't know if that's a broken template, of broken quants you're running, or what...",Peak safety theater gptoss120b refuses to discuss,"Temperature, Top-P, Top-K or more exotic sampling hyper params can make a model feel totally different even Gemini.",Yes,Multi,Multi,Multi,Neutral,"[{""aspect"":""model"",""opinion"":""feel totally different"",""category"":""BEHAVIOR"",""sentiment"":""Neutral""},{""aspect"":""Gemini"",""opinion"":""feel totally different"",""category"":""BEHAVIOR"",""sentiment"":""Neutral""}]",
HV900_0547,ngyew96,,Llama 4 benchmarks,"yeah, i get the frustration with big models, but i'm still holding out for llama 4 behemoth. it's not even done training.",Yes,Multi,Multi,Multi,Mixed,"[{""aspect"":""Llama 4"",""category"":""RESOURCES"",""opinion"":""still holding out"",""sentiment"":""Positive""},{""aspect"":""Llama 4"",""category"":""TECHNICAL"",""opinion"":""not even done training"",""sentiment"":""Neutral""}]",
HV900_0835,o9tu8j8,,Mistral nemo upscale but kinda weird,"I absolutely loved mistral nemo back in the days. Cool project btw! Are there any benchmarks, interaction examples, etc.? I am afraid a 33Gb dense model won't fit in my poor 16Gb 5070Ti.",Yes,Multi,Multi,Multi,Mixed,"[{""aspect"":""Mistral nemo"",""category"":""BEHAVIOR"",""opinion"":""absolutely loved mistral nemo"",""sentiment"":""Positive""},{""aspect"":""Mistral nemo"",""category"":""RESOURCES"",""opinion"":""won't fit in my poor 16Gb 5070Ti"",""sentiment"":""Negative""}]",
HV900_0548,n9nksbe,,Deepseekv31base,"This is a tricky question, LLMs see ""what should be the punishment"" and ""opponent's board"", they are all trying to predict the punishment tokens and make connection with opponent's board. If you take out ""should be"" They should all give correct answer.",Yes,LLMs,INTELLIGENCE,trying to predict the punishment tokens and make connection with opponent's board,Negative,"[{""aspect"":""LLMs"",""category"":""INTELLIGENCE"",""opinion"":""trying to predict the punishment tokens and make connection with opponent's board"",""sentiment"":""Negative""}]",
HV900_0153,nbawoyv,,Not local microsoft ai two new inhouse models,Everyone is thrilled about open sourcing Grok 3.,Yes,Grok 3,RESOURCES,Everyone is thrilled about open sourcing Grok 3,Positive,"[{""aspect"":""Grok 3"",""category"":""RESOURCES"",""opinion"":""Everyone is thrilled about open sourcing Grok 3"",""sentiment"":""Positive""}]",
HV900_0343,o9v5hhg,"Gpt-oss-120b is still good, but other than that, not many good recent options for coding. The best models are coming from China now.",Vllm on nvidia dgx spark,Thanks ❤️ gpt-oss-120 is good. Running this with cine was smooth. Continue plugin - not so much.,Yes,gpt-oss-120,SOFTWARE,Running this with cine was smooth,Positive,"[{""aspect"":""gpt-oss-120"",""category"":""SOFTWARE"",""opinion"":""Running this with cine was smooth"",""sentiment"":""Positive""}]",
HV900_0288,mwxd5q8,What is the context length of it? If this is 128k it’s kinda killer,Deepseek r1 0528 hits 71 145 pts from r1 on aider,it can only handle around 60k. even the ones with 160k.,Yes,it,TECHNICAL,can only handle around 60k,Negative,"[{""aspect"":""it"",""category"":""TECHNICAL"",""opinion"":""can only handle around 60k"",""sentiment"":""Negative""}]",
HV900_0034,o77uk6x,,Is there interest in an abliterated kimi k25,Agreed. I rather effort be put into distillation of Kimi K2 at the logit level onto a 120b model. Perhaps GPT-OSS 120 or better still the new Qwen 120b model.,Yes,Multi,Multi,Multi,Mixed,"[{""aspect"":""Kimi K2"",""category"":""TECHNICAL"",""opinion"":""distillation of Kimi K2 at the logit level"",""sentiment"":""Neutral""},{""aspect"":""Qwen 120b"",""category"":""COMPARATIVE"",""opinion"":""better still the new Qwen 120b model"",""sentiment"":""Positive""}]",
HV900_0557,oe27xu2,,Real talk has anyone actually made claude code,Local Qwen3.5 works absolutely fine with Claude Code on longer contexts. But I prefer OpenCode.,Yes,Qwen3.5,TECHNICAL,works absolutely fine with Claude Code on longer contexts,Positive,"[{""aspect"":""Qwen3.5"",""category"":""TECHNICAL"",""opinion"":""works absolutely fine with Claude Code on longer contexts"",""sentiment"":""Positive""}]",
HV900_0210,ody0b5w,Actually it uses much much less token than qwen 3.5 to reach to an answer...,Gemma 4 and qwen35 on shared benchmarks,"That's what I'm finding as well. Qwen churns through tokens like crazy, whereas in my testing, gemma4 seems to use 30% less tokens overall in my testing.",Yes,Multi,Multi,Multi,Mixed,"[{""aspect"":""Qwen"",""category"":""RESOURCES"",""opinion"":""churns through tokens like crazy"",""sentiment"":""Negative""},{""aspect"":""gemma4"",""category"":""COMPARATIVE"",""opinion"":""seems to use 30% less tokens overall in my testing"",""sentiment"":""Positive""}]",
HV900_0156,o9zotyf,,Llamacpp now with a true reasoning budget,The qwen models are specifically trained with support for a thinking budget and a thinking budget message. You can use their official message.,Yes,qwen,INTELLIGENCE,specifically trained with support for a thinking budget and a thinking budget message,Neutral,"[{""aspect"":""qwen"",""category"":""INTELLIGENCE"",""opinion"":""specifically trained with support for a thinking budget and a thinking budget message"",""sentiment"":""Neutral""}]",
HV900_0522,my2hbiy,,Do ai wrapper startups have a real future,Ollama shows people will use something for convenience so they definitely have a market.,Yes,Multi,Multi,Multi,Positive,"[{""aspect"":""Ollama"",""category"":""SOFTWARE"",""opinion"":""shows people will use something for convenience"",""sentiment"":""Positive""},{""aspect"":""Ollama"",""category"":""RESOURCES"",""opinion"":""definitely have a market"",""sentiment"":""Positive""}]",
HV900_0664,n4eq521,,Why did ollama stop shipping new models,Does it support the model loading unloading from owui like ollama does?,Yes,ollam,SOFTWARE,support the model loading unloading from owui,Neutral,"[{""aspect"":""ollam"",""category"":""SOFTWARE"",""opinion"":""support the model loading unloading from owui"",""sentiment"":""Neutral""}]",
HV900_0065,ny7rh1i,,Which mcps surprised you either by breaking or by,Using llama.cpp grammar / function calls avoids that bloat and stays far more deterministic and debuggable.,Yes,llama.cpp,SOFTWARE,function calls avoids that bloat and stays far more deterministic and debuggable,Positive,"[{""aspect"":""llama.cpp"",""category"":""SOFTWARE"",""opinion"":""function calls avoids that bloat and stays far more deterministic and debuggable"",""sentiment"":""Positive""}]",
HV900_0815,o74nec0,,New qwen35 models spotted on qwen chat,If you have a GPU add it's VRAM to your system RAM for what you can run Gpt-oss-120b will run on 64gb RAM + 16gb VRAM quite well so I have high hopes for this,Yes,Gpt-oss-120b,RESOURCES,will run on 64gb RAM + 16gb VRAM quite well,Positive,"[{""aspect"":""Gpt-oss-120b"",""category"":""RESOURCES"",""opinion"":""will run on 64gb RAM + 16gb VRAM quite well"",""sentiment"":""Positive""}]",
HV900_0330,o35kapy,,How do you use the web search function for gptoss,"If you don't want to code, some engines with UI, like Ollama, has web search built-in.",Yes,Ollama,SOFTWARE,has web search built-in,Positive,"[{""aspect"":""Ollama"",""category"":""SOFTWARE"",""opinion"":""has web search built-in"",""sentiment"":""Positive""}]",
HV900_0045,ndkefdr,"Hi, I'm late to the AMA but I'd still like to ask: Do you have any insight how to do better quantization of MoE models? Currently you have UD quants of GPT-OSS but not Qwen3 MoE. There are regular GGUF Q4 quants of Qwen3 MoE, but some people feel that they lose too much intelligence compared to Q4 quants of dense models.",Ama with the unsloth team,No worries! Oh we do have dynamic GGUFs for Qwen 3 MoE! See and,Yes,Qwen 3 MoE,TECHNICAL,do have dynamic GGUFs for Qwen 3 MoE,Positive,"[{""aspect"":""Qwen 3 MoE"",""category"":""TECHNICAL"",""opinion"":""do have dynamic GGUFs for Qwen 3 MoE"",""sentiment"":""Positive""}]",
HV900_0569,ndibh5e,,Rag with gemma3270m,"No, it is too dumb for RAG. 2B is smallest I'd use. Try Granite 3.1 2B.",Yes,it,INTELLIGENCE,too dumb for RAG,Negative,"[{""aspect"":""it"",""category"":""INTELLIGENCE"",""opinion"":""too dumb for RAG"",""sentiment"":""Negative""}]",
HV900_0564,n3tuepz,,Did kimi k2 train on claudes generated code i,"I prompted the IQ1_S with ""Hi, who r u?"" 4x (while testing the gpu memory allocation) and one of the times it's Claude from Anthropic. The only other model I've seen do this was Qwen2.5-72b (before the commit where they gave it a system prompt). Take that with a grain of salt of course since it could have seen this posted all over the internet.",Yes,Multi,Multi,Multi,Negative,"[{""aspect"":""IQ1_S"",""category"":""BEHAVIOR"",""opinion"":""it's Claude from Anthropic"",""sentiment"":""Negative""},{""aspect"":""Qwen2.5-72b"",""category"":""BEHAVIOR"",""opinion"":""The only other model I've seen do this was Qwen2.5-72b"",""sentiment"":""Negative""}]",
HV900_0518,ni45jd3,,Update familybench new models tested claude,"Instruct models often perfoms very poorly, as this is mostly a reasoning benchmark, but i'll include it in the next batch",Yes,Instruct models,INTELLIGENCE,often perfoms very poorly,Negative,"[{""aspect"":""Instruct models"",""opinion"":""often perfoms very poorly"",""category"":""INTELLIGENCE"",""sentiment"":""Negative""}]",
HV900_0421,ngabi5x,hmm I'm using fp8 but i think thats relatively light quantization. is there a way to fix the sampling algo in vllm?,Glm45air outputting n x times when asked to,Just use the parameters recommended by GLM IIRC temperature must be 0.6.,Yes,GLM,SOFTWARE,parameters recommended,Neutral,"[{""aspect"":""GLM"",""category"":""SOFTWARE"",""opinion"":""parameters recommended"",""sentiment"":""Neutral""}]",
