sample_id,id,parent_context,thread_title,sentence,human_has_quad,human_aspect,human_category_label,human_opinion,human_sentiment_label,human_quads_json
HV900_0894,o2k9or0,,Opencode llamacpp glm47 flash claude code at home,"I Really have hard time with opencode configuring, because their terminal doesn't allow me to change models Also i am ok to use hosted glm api, if it really matches claude opus levels. ( I am hoping kimi 2.5 has that)",Yes,Kimi 2.5,COMPARATIVE,hoping kimi 2.5 has that,Neutral,"[{""aspect"":""Kimi 2.5"",""opinion"":""hoping kimi 2.5 has that"",""category"":""COMPARATIVE"",""sentiment"":""Neutral""}]"
HV900_0769,nagxkpi,"Even the 3090 is much faster for this duties than the M3 ultra (CUDA privileges). The main advantage of the m series is the capacity to run very large models, the portability and the absolute lack of sound produced. Even heat, the highest temperature mine got was 40ºC. It suffers in large contexts. Congratulations, on your machine and setup, thx for the help my friend!",Qwenimageedit m3 ultra 512gb comfyui,"well, you're packing a hell of a punch with the M3 Ultra, not gonna lie. I'd love to have one to run Deepseek/Qwen at usable speeds",Yes,DeepSeek/Qwen,PERFORMANCE,run ... at usable speeds,Positive,"[{""aspect"":""DeepSeek/Qwen"",""opinion"":""run ... at usable speeds"",""category"":""PERFORMANCE"",""sentiment"":""Positive""}]"
HV900_0096,o3nkbjr,,The agentic mirror when system architecture meets,"Should cut hallucinations to almost 0, provide persistant memory and complex multi step reasoning in my Qwen-Code on 8gb of VRAM and $0 invested.",Yes,Multi,Multi,Multi,Positive,"[{""aspect"":""Qwen-Code"",""opinion"":""cut hallucinations to almost 0"",""category"":""TECHNICAL"",""sentiment"":""Positive""},{""aspect"":""Qwen-Code"",""opinion"":""provide persistant memory and complex multi step reasoning"",""category"":""INTELLIGENCE"",""sentiment"":""Positive""}]"
HV900_0802,nd1dkez,It's a 622MB file: I don't know what you downloaded. Mine is only using about 670MB when loaded. Make sure ollama is updated?,Embeddinggemma has higher memory footprint than,yes I'm using latest ollama otherwise embeddinggemma won't run. And yes its a 600mb file on disk if you check using ollama list. ollama ps shows its size when running the model.,Yes,EmbeddingGemma,SOFTWARE,won't run,Negative,"[{""aspect"":""EmbeddingGemma"",""opinion"":""won't run"",""category"":""SOFTWARE"",""sentiment"":""Negative""}]"
HV900_0051,o8nt2vn,,Qwen has been underwhelming considering how much,"I am using 3.5 4b and 9b for vision tasks and it works very well. Doing the task locally without relying on chatgpt or gemini for vision is a win for me, that too on my 16gb gpu and extremely fast. I thank Qwen team for their work",Yes,Multi,Multi,Multi,Positive,"[{""aspect"":""Qwen 3.5 4B"",""opinion"":""works very well"",""category"":""INTELLIGENCE"",""sentiment"":""Positive""},{""aspect"":""Qwen 3.5 4B"",""opinion"":""extremely fast"",""category"":""PERFORMANCE"",""sentiment"":""Positive""},{""aspect"":""Qwen 3.5 9B"",""opinion"":""works very well"",""category"":""INTELLIGENCE"",""sentiment"":""Positive""},{""aspect"":""Qwen 3.5 9B"",""opinion"":""extremely fast"",""category"":""PERFORMANCE"",""sentiment"":""Positive""}]"
HV900_0086,n3b2i0l,How did you do the test? Also why no deepseek?,A personal mathematics benchmark ioqm 2024,Sending each problem one by one into the chat interface of every website... I do not have paid API access. No deepseek/qwen as for the higher-difficulty problems they thought too much and always kept exceeding their token output limit.,Yes,Multi,Multi,Multi,Negative,"[{""aspect"":""DeepSeek"",""opinion"":""thought too much"",""category"":""INTELLIGENCE"",""sentiment"":""Negative""},{""aspect"":""DeepSeek"",""opinion"":""kept exceeding their token output limit"",""category"":""PERFORMANCE"",""sentiment"":""Negative""},{""aspect"":""Qwen"",""opinion"":""thought too much"",""category"":""INTELLIGENCE"",""sentiment"":""Negative""},{""aspect"":""Qwen"",""opinion"":""kept exceeding their token output limit"",""category"":""PERFORMANCE"",""sentiment"":""Negative""}]"
HV900_0371,n322g2h,,Benchmarking qwen3 30b and 235b on dual rtx pro,"No, the idea is that below the token limit, it takes the same amount of time to process 1 user or 10 users. Sequential would be slower.",Yes,Multi,Multi,Multi,Neutral,"[{""aspect"":""Qwen3 30B"",""opinion"":""below the token limit, it takes the same amount of time to process 1 user or 10 users"",""category"":""PERFORMANCE"",""sentiment"":""Neutral""},{""aspect"":""Qwen3 235B"",""opinion"":""below the token limit, it takes the same amount of time to process 1 user or 10 users"",""category"":""PERFORMANCE"",""sentiment"":""Neutral""}]"
HV900_0777,mw47ufx,,New embedding model qwen3embedding06bgguf just,I was really waiting for new multilingual embedding model so this will be nice to test for our rag project,Yes,Qwen3 Embedding 0.6B,TECHNICAL,nice to test for our rag project,Positive,"[{""aspect"":""Qwen3 Embedding 0.6B"",""opinion"":""nice to test for our rag project"",""category"":""TECHNICAL"",""sentiment"":""Positive""}]"
HV900_0362,nss15qd,"Do you have a recommendation for a ""mini pc"" i can buy or something like that? with a budget less than 4 figures. More into the 3 figures budget and what kind of models I can run with that kind of ""mini pc"" or whatever the technical name is.",Im tired of claude limits whats the best,"A more expensive subscription to Claude is well within your budget, and you’ll get way better results than trying to DIY anything yourself.",Yes,Claude,COMPARATIVE,way better results than trying to DIY anything yourself,Positive,"[{""aspect"":""Claude"",""opinion"":""way better results than trying to DIY anything yourself"",""category"":""COMPARATIVE"",""sentiment"":""Positive""}]"
HV900_0873,nx0z16i,,How is running local ai models on amd gpus today,I mainly just use gpt-oss-20B right now because there's no model that fits in under 48GB of VRAM that really competes with it using native context size.,Yes,Multi,Multi,Multi,Positive,"[{""aspect"":""GPT-OSS-20B"",""opinion"":""no model that fits in under 48GB of VRAM that really competes with it"",""category"":""COMPARATIVE"",""sentiment"":""Positive""},{""aspect"":""GPT-OSS-20B"",""opinion"":""using native context size"",""category"":""TECHNICAL"",""sentiment"":""Positive""}]"
HV900_0450,nqai1w9,,Hunyuanvideo15 a leading lightweight video,I’m having issues with fp8 with the dam conversions haven’t tried fp16 … but I’m about to .. m4 pro with 48gb unified here,Yes,HunyuanVideo 1.5,TECHNICAL,issues with fp8 with the conversions,Negative,"[{""aspect"":""HunyuanVideo 1.5"",""opinion"":""issues with fp8 with the conversions"",""category"":""TECHNICAL"",""sentiment"":""Negative""}]"
HV900_0574,ng31uyp,"Gemmas are still my favorites for small size. Which deepseeks do you like best? Im still using R1-0528, I havent tried any of the new v3.1s yet.",Rant magistralsmall2509 claude4,"OG 3.1 is dry but sounds neutral, not-so-robotic. 3.1 update though is odd, cannot point my finger. Deepseek updates are widely different in their personality, but I personally like v3 0324 most.",Yes,Multi,Multi,Multi,Multi,"[{""aspect"":""DeepSeek V3.1 OG"",""opinion"":""dry but sounds neutral, not-so-robotic"",""category"":""BEHAVIOR"",""sentiment"":""Neutral""},{""aspect"":""DeepSeek V3.1 update"",""opinion"":""odd, cannot point my finger"",""category"":""BEHAVIOR"",""sentiment"":""Negative""},{""aspect"":""DeepSeek V3 0324"",""opinion"":""personally like v3 0324 most"",""category"":""BEHAVIOR"",""sentiment"":""Positive""}]"
HV900_0490,nf2vqgt,,Gemma 3 27b context shifting not supported in,"Hm. Not sure is it is same as prompt caching, but ""Use FastForwarding"" in KoboldCPP works with SWA. Eg when I have 16k prompt size and first 8k is always the same (instructions + fixed knowledge), then only the 2nd 8k is processed on each reply (I am using Gemma3 27B like that and it works with KoboldCpp).",Yes,Gemma3 27B,SOFTWARE,works with KoboldCpp,Positive,"[{""aspect"":""Gemma3 27B"",""opinion"":""works with KoboldCpp"",""category"":""SOFTWARE"",""sentiment"":""Positive""}]"
HV900_0046,mwz7uvs,,Mark zuckerberg personally hiring to create new,So that existing team working on Llama turned out to be not up to the task?,Yes,Llama,PERFORMANCE,not up to the task,Negative,"[{""aspect"":""Llama"",""opinion"":""not up to the task"",""category"":""PERFORMANCE"",""sentiment"":""Negative""}]"
HV900_0329,n3u5s43,,Jannano128k a 4b model with a superlong context,"amazing for local agents! long context and small size, I'll try to see the reasoning capabilities.",Yes,Multi,Multi,Multi,Positive,"[{""aspect"":""Jannano128k"",""opinion"":""long context and small size"",""category"":""TECHNICAL"",""sentiment"":""Positive""},{""aspect"":""Jannano128k"",""opinion"":""amazing for local agents"",""category"":""INTELLIGENCE"",""sentiment"":""Positive""}]"
HV900_0597,nd149ha,,How to make rag more proactive in following,"You might want to explore the idea of using Retrieval-Interleaved Generation (RIG) from [Google’s “Data Gemma” for hallucination-free retrieval]( It allows proactive querying of a structured knowledge base, which could help your model automatically check and enforce guidelines without explicit user prompts.",Yes,Multi,Multi,Multi,Positive,"[{""aspect"":""Data Gemma"",""opinion"":""hallucination-free retrieval"",""category"":""TECHNICAL"",""sentiment"":""Positive""},{""aspect"":""Data Gemma"",""opinion"":""proactive querying of a structured knowledge base"",""category"":""TECHNICAL"",""sentiment"":""Positive""}]"
HV900_0881,o0mw4oa,,My gpu poor comrades glm 47 flash is your local,"Great insight, had no idea that memotron was so different to qwen3. Based on the benchmarks I had dismissed it as a qwen3 equivalent. Data analysis as in writing SQL, pandas etc or ? Have you used gpt-oss-120b? ( I find that is still the best for size to knowledge/intelligence ratio and the biggest I can run at a speed that is comparable to cloud models on my hardware)",Yes,Multi,Multi,Multi,Positive,"[{""aspect"":""GPT-OSS-120B"",""opinion"":""best for size to knowledge/intelligence ratio"",""category"":""COMPARATIVE"",""sentiment"":""Positive""},{""aspect"":""GPT-OSS-120B"",""opinion"":""biggest I can run at a speed that is comparable to cloud models"",""category"":""RESOURCES"",""sentiment"":""Positive""}]"
HV900_0272,n7xo46y,,Qwen code as a main tool,"I was just convinced to switch from OpenAI to Claude… I was evaluating Qwen but ultimately decided on Claude code because I had a better feeling on it vs Qwen + Roo. The primary driver was that anything I could run locally is probably going to be shittier than Claude Sonnet, even with the network latency. That being said I’m really tempted to dump a few grand on a couple dozen GB of vram and comparing…",Yes,Multi,Multi,Multi,Multi,"[{""aspect"":""Qwen"",""opinion"":""worse than Claude Sonnet"",""category"":""COMPARATIVE"",""sentiment"":""Negative""},{""aspect"":""Claude Sonnet"",""opinion"":""better than anything I could run locally"",""category"":""COMPARATIVE"",""sentiment"":""Positive""}]"
HV900_0786,no4n7u9,,Cheapest method to selfhost qwen 3vl model,Litterally any moderately new gpu out there right now. Like the Intel a310 could even do it I think.,Yes,Qwen3-VL,RESOURCES,any moderately new gpu out there right now,Positive,"[{""aspect"":""Qwen3-VL"",""opinion"":""any moderately new gpu out there right now"",""category"":""RESOURCES"",""sentiment"":""Positive""}]"
HV900_0008,n05762l,,What is the best under12b local model for text,"Llama 3.0 8B might be bit better than 3.1 , due to lack of extra functionality as call functions.",Yes,Multi,Multi,Multi,Multi,"[{""aspect"":""Llama 3.0 8B"",""opinion"":""might be bit better than 3.1"",""category"":""COMPARATIVE"",""sentiment"":""Positive""},{""aspect"":""Llama 3.1"",""opinion"":""lack of extra functionality as call functions"",""category"":""SOFTWARE"",""sentiment"":""Negative""}]"
HV900_0394,nlau8d3,,If you could have one llm distilled to a smaller,Qwen 3 Coder 480B down to 120B with ~20B active parameters,Yes,Qwen 3 Coder 120B,RESOURCES,480B down to 120B with ~20B active parameters,Neutral,"[{""aspect"":""Qwen 3 Coder 120B"",""opinion"":""480B down to 120B with ~20B active parameters"",""category"":""RESOURCES"",""sentiment"":""Neutral""}]"
HV900_0826,nnfcfem,,Unified memory is the future not gpu for local ai,"> Have you actually tried this specific quant (Kimi K2 0905 IQ4_KS from Ubergram)? But I did find IQ4_XS quants GLM-4-32B, Nemo, Mistral Small 22b, Mistral Small 3.2 all producing ""weird"" prose for lack of better word.",Yes,Multi,Multi,Multi,Negative,"[{""aspect"":""GLM-4-32B"",""opinion"":""producing weird prose"",""category"":""BEHAVIOR"",""sentiment"":""Negative""},{""aspect"":""Nemo"",""opinion"":""producing weird prose"",""category"":""BEHAVIOR"",""sentiment"":""Negative""},{""aspect"":""Mistral Small 22B"",""opinion"":""producing weird prose"",""category"":""BEHAVIOR"",""sentiment"":""Negative""},{""aspect"":""Mistral Small 3.2"",""opinion"":""producing weird prose"",""category"":""BEHAVIOR"",""sentiment"":""Negative""}]"
HV900_0134,myopk1j,,I have an dual xeon e52680v2 with 64gb of ram,Qwen 3 30B has 3B active parameters.,Yes,Qwen 3 30B,RESOURCES,has 3B active parameters,Neutral,"[{""aspect"":""Qwen 3 30B"",""opinion"":""has 3B active parameters"",""category"":""RESOURCES"",""sentiment"":""Neutral""}]"
HV900_0599,obmshk4,,Qwen wants you to know,""" Mistral's clearly struggling with legal restrictions"" what do you mean?",Yes,Mistral,BEHAVIOR,struggling with legal restrictions,Negative,"[{""aspect"":""Mistral"",""opinion"":""struggling with legal restrictions"",""category"":""BEHAVIOR"",""sentiment"":""Negative""}]"
HV900_0078,ndk6su7,"Yeah, I really hope got-oss-120b that could fit ~ 45GB which is a sweet spot for Macs with 64GB unified memory. This will be useful many community members..",Ama with the unsloth team,There is a way to pad GPT OSS to a multiple of 256 and then it can shrink - I'll have to investigate further!,Yes,GPT-OSS,TECHNICAL,pad GPT OSS to a multiple of 256 and then it can shrink,Neutral,"[{""aspect"":""GPT-OSS"",""opinion"":""pad GPT OSS to a multiple of 256 and then it can shrink"",""category"":""TECHNICAL"",""sentiment"":""Neutral""}]"
HV900_0144,ocffvfu,,Model advice for openended autonomous agent loop,"Built VeilPiercer for this: logs all Ollama prompts/responses on-device with timestamps, queryable by session. For your ChromaDB + Ollama setup it gives you the audit trail across those 19 lifetimes.",Yes,Multi,Multi,Multi,Positive,"[{""aspect"":""VeilPiercer"",""opinion"":""logs all Ollama prompts/responses on-device"",""category"":""SOFTWARE"",""sentiment"":""Positive""},{""aspect"":""VeilPiercer"",""opinion"":""gives you the audit trail"",""category"":""SOFTWARE"",""sentiment"":""Positive""}]"
HV900_0632,n6dt8kc,"Gemini summarizes, and Claude summarizes after \~1000 tokens of thinking.",Horizon alpha hides its thinking,"That's not quite what I'm seeing when I send it messages via the API, but I'm not that familiar with its mechanisms. Time to first token also feels far too quick for that to be the case (again I could very well be wrong here) It doesn't ""feel"" like it's outputting 1000 tokens worth of data and then outputting to me like o3 pro does.",Yes,Multi,Multi,Multi,Neutral,"[{""aspect"":""Horizon Alpha"",""opinion"":""Time to first token also feels far too quick"",""category"":""PERFORMANCE"",""sentiment"":""Neutral""},{""aspect"":""Horizon Alpha"",""opinion"":""doesn't feel like it's outputting 1000 tokens worth of data"",""category"":""INTELLIGENCE"",""sentiment"":""Neutral""}]"
HV900_0487,odd02px,,Which framework will give me best performance and,but I'm liking the Qwen 35B A3B,Yes,Qwen 35B A3B,PERFORMANCE,liking the Qwen 35B A3B,Positive,"[{""aspect"":""Qwen 35B A3B"",""opinion"":""liking the Qwen 35B A3B"",""category"":""PERFORMANCE"",""sentiment"":""Positive""}]"
HV900_0376,nhpre4d,,Trying to finetune granitedocling and its driving,">> The model outputs only exclamation marks (i.e. ""!!!!!!!!!!!!!!!""). >This is seen on older NVIDIA GPUs, such as the T4 GPU available in Google Colab, because it lacks support for bfloat16 format. You can work around it by setting the dtype to float32.",Yes,Granite-Docling,BEHAVIOR,outputs only exclamation marks,Negative,"[{""aspect"":""Granite-Docling"",""opinion"":""outputs only exclamation marks"",""category"":""BEHAVIOR"",""sentiment"":""Negative""}]"
HV900_0847,o2edzow,,My workflow using gemini pro for images grok qwen,This workflow is brilliant. Using 'visual anchors' like 'standing perfectly still' to prevent body warping is a pro tip that many beginners miss. I'm currently experimenting with a similar approach for my 40-page noir project — focusing on subtle movement to keep the atmosphere high while avoiding hallucinations. Grok's cinematic detail is perfect for this. Great breakdown!,Yes,Grok,INTELLIGENCE,cinematic detail is perfect for this,Positive,"[{""aspect"":""Grok"",""opinion"":""cinematic detail is perfect for this"",""category"":""INTELLIGENCE"",""sentiment"":""Positive""}]"
HV900_0511,nu1mw5s,,Gemma 4,"Gemma 3 actually supports thinking ! Even advanced cot with a good enough system prompt: think - tool use - think - tools use - think - final message. It was amazin to find out not gonna lie, it's way more capable than expected !!",Yes,Multi,Multi,Multi,Positive,"[{""aspect"":""Gemma 3"",""opinion"":""supports thinking"",""category"":""INTELLIGENCE"",""sentiment"":""Positive""},{""aspect"":""Gemma 3"",""opinion"":""advanced CoT with a good enough system prompt"",""category"":""INTELLIGENCE"",""sentiment"":""Positive""},{""aspect"":""Gemma 3"",""opinion"":""more capable than expected"",""category"":""INTELLIGENCE"",""sentiment"":""Positive""}]"
HV900_0163,o134qrx,,Experiences with local coding agents,opencode --yolo + gpt-oss-120b (serving w lms) is relatively mind-blowing,Yes,GPT-OSS-120B,SOFTWARE,relatively mind-blowing,Positive,"[{""aspect"":""GPT-OSS-120B"",""opinion"":""relatively mind-blowing"",""category"":""SOFTWARE"",""sentiment"":""Positive""}]"
HV900_0657,odr59gq,,Does the claude leak actually change anything in,"The thing is, cracking open the binary and getting the code out hasn’t been hard. I had Claude do it for me months ago because I was curious about the system prompt. This has gotten wider visibility but there’s nothing new here for anyone who understands this stuff.",Yes,Claude,SOFTWARE,had Claude do it for me,Positive,"[{""aspect"":""Claude"",""opinion"":""had Claude do it for me"",""category"":""SOFTWARE"",""sentiment"":""Positive""}]"
HV900_0235,o55ksig,,Step 35 flash is a beast,that using GPT-OS 120B and some Qwen Coder Next intermediate quant alongside makes sense.,Yes,Multi,Multi,Multi,Positive,"[{""aspect"":""GPT-OSS-120B"",""opinion"":""makes sense"",""category"":""SOFTWARE"",""sentiment"":""Positive""},{""aspect"":""Qwen Coder Next"",""opinion"":""makes sense"",""category"":""SOFTWARE"",""sentiment"":""Positive""}]"
HV900_0113,na5arux,,Qwen3 might be censored but it is also brutally,"I wonder how better, or at least less bad, the Chinese responses are. If it's good they could perhaps make the models think in Chinese for political questions, always rewriting the question in Chinese and stating that the response follow the science of the Proletariat, or things like that, though from the little I used LLMs for questions like that it seemed very common for them to still abide to western propaganda in some way...",Yes,Qwen3,BEHAVIOR,might be censored,Negative,"[{""aspect"":""Qwen3"",""opinion"":""might be censored"",""category"":""BEHAVIOR"",""sentiment"":""Negative""}]"
HV900_0124,nj2an1o,I havent tried the awq enough. Just downloaded it this morning. Yes 50k tokens for fp8,Anyone running glm 4546 q8 locally,Im running the FP8 on 4x rtx 6000 blackwell max-q and can reach 120k tokens context. Saccing some performance i guess since im only getting around 30t/s,Yes,Multi,Multi,Multi,Multi,"[{""aspect"":""GLM 4.5/4.6"",""opinion"":""can reach 120k tokens context"",""category"":""TECHNICAL"",""sentiment"":""Positive""},{""aspect"":""GLM 4.5/4.6"",""opinion"":""only getting around 30t/s"",""category"":""PERFORMANCE"",""sentiment"":""Negative""}]"
HV900_0804,n1zotqq,"hey mate, is this llama 1? I don't suppose you know how fast the MI50 can run llama3.2-3b at Q8_0 with llama.cpp?",128gb vram for 600 qwen3 moe 235ba22b reaching 20,"well, I have metrics for qwen3 4B Q8\_0. pp1024 - 602.19 ± 0.37 tg128 - 71.42 ± 0.02 So, llama3.2-**3b** at Q8\_0 will be a bit faster. Probably, 80+ t/s for TG.",Yes,Multi,Multi,Multi,Positive,"[{""aspect"":""Qwen3 4B Q8_0"",""opinion"":""pp1024 - 602.19"",""category"":""PERFORMANCE"",""sentiment"":""Positive""},{""aspect"":""Qwen3 4B Q8_0"",""opinion"":""tg128 - 71.42"",""category"":""PERFORMANCE"",""sentiment"":""Positive""},{""aspect"":""Llama3.2-3B Q8_0"",""opinion"":""will be a bit faster"",""category"":""COMPARATIVE"",""sentiment"":""Positive""}]"
HV900_0211,nhifg58,,No glm46 air version is coming out,What sort of GPU+Ram runs a decent quant of 4.5 Air? 3-bit quant of 4.6 is in reach of 2x3090 + 128GB on a gaming PC.,Yes,Multi,Multi,Multi,Positive,"[{""aspect"":""GLM 4.5 Air"",""opinion"":""decent quant of 4.5 Air"",""category"":""RESOURCES"",""sentiment"":""Positive""},{""aspect"":""GLM 4.6"",""opinion"":""in reach of 2x3090 + 128GB"",""category"":""RESOURCES"",""sentiment"":""Positive""}]"
HV900_0563,mzxrij1,,Deepseek r2 delayed,"Deepseek was never synthetics. If it was, it would suck, and it doesn’t. I know people think it was. I don’t. Yes I understand what that implies.",Yes,DeepSeek,PERFORMANCE,doesn’t suck,Positive,"[{""aspect"":""DeepSeek"",""opinion"":""doesn’t suck"",""category"":""PERFORMANCE"",""sentiment"":""Positive""}]"
HV900_0223,oe5r611,,Arena ai vs benchmarks qwen 35 vs gemma 4 models,"Also I noticed that for more ephemeral stuff, it keeps reinforcing that you should look for actual sources with up-to-date information. It’s a good thing, in my opinion, since there a whole category of information that depends a lot on when the question is asked.",Yes,Multi,Multi,Multi,Positive,"[{""aspect"":""Qwen 3.5"",""opinion"":""keeps reinforcing that you should look for actual sources with up-to-date information"",""category"":""INTELLIGENCE"",""sentiment"":""Positive""},{""aspect"":""Gemma 4"",""opinion"":""keeps reinforcing that you should look for actual sources with up-to-date information"",""category"":""INTELLIGENCE"",""sentiment"":""Positive""}]"
HV900_0630,ng8wr91,,Important why abliterated models suck here is a,"Are you sure that mradermacher/Qwen3-30B-A3B-abliterated-erotic-i1-GGUF was further trained after the abliteration? It should be a quantization of Ewere/Qwen3-30B-A3B-abliterated-erotic , and I didn't find anything saying it was further trained.",Yes,Qwen3-30B-A3B-abliterated-erotic,TECHNICAL,didn't find anything saying it was further trained,Neutral,"[{""aspect"":""Qwen3-30B-A3B-abliterated-erotic"",""opinion"":""didn't find anything saying it was further trained"",""category"":""TECHNICAL"",""sentiment"":""Neutral""}]"
HV900_0196,my8vaw3,,Deepseek v3 vram requirements,"ollama run deepseek-v3 ran out of memory on a machine with 512 GB RAM, so it seems that is not enough.",Yes,DeepSeek V3,RESOURCES,512 GB RAM ... is not enough,Negative,"[{""aspect"":""DeepSeek V3"",""opinion"":""512 GB RAM ... is not enough"",""category"":""RESOURCES"",""sentiment"":""Negative""}]"
HV900_0482,o2ljnhj,,Why dont we have more distilled models,Nemotron-3-Nano is partly distilled from gpt-oss-120b if you look at the training dataset,Yes,Nemotron-3-Nano,TECHNICAL,partly distilled from gpt-oss-120b,Neutral,"[{""aspect"":""Nemotron-3-Nano"",""opinion"":""partly distilled from gpt-oss-120b"",""category"":""TECHNICAL"",""sentiment"":""Neutral""}]"
