sample_id,record_id,sentence_index,thread_title,parent_context,sentence_text,human_has_quad,human_aspect,human_opinion,human_category_label,human_sentiment_label,human_quads_json,annotator
SAMPLE_0117,nfs23dx,0,How are they shipping so fast,I didnt know a 15b2a was rumored. This would be a gamechanger for all people with midrange business laptops.,GPT-OSS-20B3.5A runs at acceptable speed with my 8GB VRAM but I'm definitely exciting for a faster Qwen 15B2A !,,,,,,,annotator_3
SAMPLE_0198,nqmu65x,0,Thats why local models are better,"I think ""you don't need big model"" is the perfect response to ""you can't run big models"" Claude's quota limit is ridiculously low considering there are now open models that matches like 80% Claude's performance for a fraction of the price that you could just re-run until you get your expected result",Kimi k2 crush the claude sometimes by 170% in tests.,,,,,,,annotator_3
SAMPLE_0120,nfwqs60,2,The ryzen ai max 395 is a true unicorn in a good,"I disagree, those pp numbers are really slow compared to a GPU. A 5090 with moe offloading to the cpu will prefill 13.5x faster than this machine by 48k context on gpt-oss-120b. If the 5090 time to first token is 20 seconds on such a prompt, this machine will be waiting 4.5 minutes.","Of course, more you can fit into VRAM, faster the speed, and your 32GB is 8GB more than I have, but I still doubt you can get 13.5x faster prompt processing.",,,,,,,annotator_3
SAMPLE_0245,o304cyk,0,Lm studio use the nvfp4 variant of nvidia,,"As far as I understand, LMS uses llama.cpp runtime which does not support nvfp4 yet.",,,,,,,annotator_3
SAMPLE_0080,ni9rrd8,2,Qwen3omni,"Qwen models are compliant enough to be 100% usable out of the box. In my personal opinion, uncensoring is lame as it removes the model's capability to refuse, making in hallycinate a lot more.",It's a small model but it's still pretty good.,,,,,,,annotator_3
SAMPLE_0145,nampxth,0,Qwen3coder480b q4 0 on 6x7900xtx,yeah but without FA i cant fit as much context,With CPU offloaded models Vulkan (with fa) had the same or better token generation.,,,,,,,annotator_3
SAMPLE_0277,n4siutw,1,Howto use qwen3coder or any other llm with claude,,Is Claude code better?,,,,,,,annotator_3
SAMPLE_0255,o5yxz41,0,Speculative decoding on strix halo,Your understanding of speculative decoding is the same as mine. Why not use a standardised prompt for benchmarking? Random token generation never sounds as relevant as real life use cases anyway. You could ask it to produce a python script for a million use cases.,"It will work, but spec decoding _really_ works well when you're iteratively fixing/editing code.",,,,,,,annotator_3
SAMPLE_0169,nfy6ewi,0,Rant magistralsmall2509 claude4,,"If I remember correctly, it was Mistral Small 3.1 that became noticeably more dry and STEM-oriented when compared to v3.0.",,,,,,,annotator_3
SAMPLE_0049,oe5ebzr,2,Qwen3527b or 122bpro6000,"I run 2x Pro 6000, and I prefer the 122b-a10b (fp8) slightly over the 27b (BF16). However, it may not be worth it at a lower quant. 122b FP8: I get around 120tg/s on single user requests, 1500 to 2500 tg/s at high concurrency. I use vllm.","- 10 > 1, I prefer 10.",,,,,,,annotator_3
SAMPLE_0035,nwraywi,0,Sxm2 v100 vs pcie rtx 4000 for huge 800gb models,,Seems to me you're buying a bunch of junk.,,,,,,,annotator_3
SAMPLE_0237,nz5hcu9,0,Glm47 218b reap model by cerebras,,"Holy shit 218B parameters, my RTX 3060 is crying just thinking about it lmao Gonna need to wait for some serious quants before us peasants can even dream of running this thing locally",,,,,,,annotator_3
SAMPLE_0022,nad2uhf,2,Running llms exclusively on amd ryzen ai npu,"Ah ok. Was thinking that more people (including me) were getting the 395 ai max soon that supporst 128gb ram. Anyways, the 8B is already good anyways. Thanks for the reply","IMO, Ryzen AI NPU with FLM only uses a small fraction of the power (compared with iGPU or CPU solutions) and sometime not turn the CPU fan on, that that is where it shine :)",,,,,,,annotator_3
SAMPLE_0206,nca9fme,0,Beginner moving from cpuonly ollama advice on,,Honestly I would just say buy the best card you can afford.,,,,,,,annotator_3
SAMPLE_0122,o6e13vq,0,Rtx2070 8gb and 32gb ram model suggestion for,,"Granit 4 7b-a1b very fast ,context 1m, 5gb vram/5gb ram",,,,,,,annotator_3
SAMPLE_0201,ndbr2db,0,Internet apocalypse what would you fill in your,,I imagine some would store Common Crawl and the weights for GPT-4o.,,,,,,,annotator_3
SAMPLE_0260,n2yi3sc,0,Interesting info about kimi k2,,There is a [paper]( which found that exact results your intuition gave!,,,,,,,annotator_3
SAMPLE_0067,nntekke,0,Kimi k2 thinking with sglang and mixed gpu,"Did you look at the actual tokens that came out? Were they valid / seemingly correct? I have a similar box (though AMD threadripper cpu, so relying on fallback instead of amxint4) when I ran this I got clearly invalid / repeating tokens coming out (at \~22 token/s) Also to confirm: yes, i also saw the same behavior that only the first request to the API works, second always crashes (claiming something about max tokens / ram)",I can cause and fix the repeating tokens in a couple of ways.,,,,,,,annotator_3
SAMPLE_0142,n6b5k0g,0,How to run qwen3 coder 30ba3b the fastest,,Can’t run it with those specs.,,,,,,,annotator_3
SAMPLE_0178,oe05f4s,1,Gemma 4 and qwen35 on shared benchmarks,,"Why release the 31B model as a 'dense' model and another smaller 26B one, but with the latter being 'MoE'?",,,,,,,annotator_3
SAMPLE_0084,o42wkxr,1,No nvidia no problem my 2018 potato 8th gen i3,check deep\_decode.py in the same folder -- DeepSeek-Coder-V2-Lite-Instruct-Q4\_K\_M\_result.txt is the output of [deep.py]( test2output.txt is the output of deep\_decode.py.,What happens if you offload everything?,,,,,,,annotator_3
SAMPLE_0075,n1ncu0k,2,Geminicli falling back to geminiflash is the best,,Switched back to Deepseek via copilot and we're back on track Claude code setup on Windows is so weird.,,,,,,,annotator_3
SAMPLE_0286,nbejiei,0,The best ollama alternative,,Do you mean just for serving LLMs or do you mean a convenient GUI for serving whichever LLM you ask for?,,,,,,,annotator_3
SAMPLE_0146,ocl5q2j,0,You can do a lot with an old mobile gpu these days,"This is running on 5 year old tech. I'm getting a modern laptop this spring with an RTX Pro 5000 Blackwell, and according to my math the voice synth should become nearly real-time, and I can tweak it to use a smarter Qwen3.5 MoE model for the LLM.","I don't understand what creates the wait times, but if it's LLM generation then it wouldn't change much since 3080 already has 760.3 GB/s that's already giving reasonable t/s for the 9B. That part won't get much faster.",,,,,,,annotator_3
SAMPLE_0242,ndhdu8o,0,Ama with the unsloth team,,What’s the largest model I could fine tune (and merge together and quantize to GGUF on 16gb vram?,,,,,,,annotator_3
SAMPLE_0250,nvd2bw7,0,Any of these models that i can wipe,"Here some MOE models for your system config: * Phi-mini-MoE-instruct * OLMoE-1B-7B-0125 * granite-4.0-h-tiny * LFM2-8B-A1B * gemma-3n-E2B * gemma-3n-E4B * GigaChat3-10B-A1.8B * Ling-Mini-2.0 * Ling-Coder-Lite * Kanana-1.5-15.7B-A3B IQ4\_XS could give you best t/s since it's low size Q4 quant. Get rid of smollm2:1.7b, Use SmolLM3-3B",You might wanna drop some of the duplicate qwen2.5-coder models since you have like 3 different sizes taking up space.,,,,,,,annotator_3
SAMPLE_0074,n3usn3k,1,Wheres mistral nemo 20,"Nemo 12B is the only Mistral model that actually amazed me, at the time it's far ahead of other small models",Nemo brings back good memories.,,,,,,,annotator_3
SAMPLE_0040,o77xett,1,Qwenqwen3535ba3b hugging face,,--fit on --kv-unified --no-mmap --parallel 1 --temp 0.6 --top-p 0.95 --top-k 20 --min-p 0 -ub 2048 --fit-ctx 80000 --fit-target 700 --port 8001 --spec-type ngram-mod --spec-ngram-size-n 24 --draft-min 48 --draft-max 64 --mmproj ./mmproj-BF16.gguf,,,,,,,annotator_3
SAMPLE_0230,o6lg5el,0,They have karpathy we are doomed,,Most people don't have spare metal laying around suitable for running it and you would be an idiot to run it on your primary device/s.,,,,,,,annotator_3
SAMPLE_0069,obth6na,2,Ik llamacpp gives 26x faster prompt processing on,"prompt eval time = 4652.68 ms / 9815 tokens ( 0.47 ms per token, 2109.54 tokens per second) eval time = 6351.34 ms / 218 tokens ( 29.13 ms per token, 34.32 tokens per second) total time = 11004.02 ms / 10033 tokens These are my numbers on a 4090 using llama.cpp with Qwen3.5-27B-Claude-4.6-Opus-Reasoning-Distilled.i1-Q4_K_M.gguf and 78k context limit (the max that fits in my VRAM without quantizing the kv cache)",It wouldn't follow directions very well.,,,,,,,annotator_3
SAMPLE_0202,o0tnjy8,0,Ill be on a 16 hours flight hence i need the best,"saw on this forum recommend Qwen3-30B-A3B-Thinking-2507, is it no good?",I like it but use it with twice the VRAM.,,,,,,,annotator_3
SAMPLE_0030,o4gu8q2,1,Gptoss jailbreak system prompt,,Are you quantization?,,,,,,,annotator_3
SAMPLE_0046,ncrif27,0,So i tried qwen 3 max skills for programming,,I asked it something about zig.,,,,,,,annotator_3
SAMPLE_0043,o4b84gx,1,The m5 max and possibly the m5 ultra macs are,,Coder 30b.,,,,,,,annotator_3
SAMPLE_0028,o5094kl,0,Is this true glm 5 was trained solely using,,Do you have a source?,,,,,,,annotator_3
SAMPLE_0015,n3fxytr,3,Your unpopular takes on llms,"We keep pushing the definition of AGI further with every new model. If you asked people in the 1960s what AGI was and then showed them GPT-4, they would say it is AGI.",So I'm not sure what your point is other than to say if you brought modern tech to the past it would blow some minds.,,,,,,,annotator_3
SAMPLE_0061,o4hy8jg,2,Claude opus 46 context reduction 500k200k how are,,"We didn't upgrade by choice, the model we built on was removed.",,,,,,,annotator_3
SAMPLE_0136,nxjqvkx,2,Llamacpp running on android with snapdragon 888,,One thing worth mentioning: with 8GB RAM you can probably push Q5_K_M quants for smaller models (3B-7B range) without much slowdown.,,,,,,,annotator_3
SAMPLE_0002,n52048t,1,Had the qwen317b model run on my mac mini,"Really cool to see a 1.7B thinking model get it right. And it only “wait, let me double check”’d twice! Lol. Check out Gemma 3n E4B as well, it’s my current favorite for low cost (memory and processing wise) local. With web searching, it’s all I really need from a non-coder.",Ohh,,,,,,,annotator_3
SAMPLE_0292,n3fiats,0,Mistralaivoxtralmini3b2507 hugging face,,"anyone fix this error ""ModuleNotFoundError: No module named 'vllm.\_C'"" tried to follow code and run in local windows 11",,,,,,,annotator_3
SAMPLE_0254,n6dfriw,2,Heads up to those that downloaded qwen3 coder,,There is a literal gguf_editor_gui.py in llama.cpp in case you didn't know.,,,,,,,annotator_3
SAMPLE_0157,n8klqgx,0,Watching china and usa release new models when,Love Mistral. Small v3 is still one of my all time favorite RAG models.,3.1 is my favorite.,,,,,,,annotator_3
SAMPLE_0151,o5v4juy,2,Qwen35 nobody agrees on attention anymore,,"As others have pointed out, the article is also wrong.",,,,,,,annotator_3
SAMPLE_0257,o58908x,1,Do anybody success opencode using qwen3nextcode,,Tool calls generally doesn't work.,,,,,,,annotator_3
SAMPLE_0149,obkinv5,0,Whats the current best llm for japanese,,I tried both LFM2.5 and Nemotron Nano and yeah those are not that great.. Couldn't easily try the DeepSeek finetune though since it's not on OpenRouter and I don't really wanna waste few dollars to try it on like Runpod.,,,,,,,annotator_3
SAMPLE_0183,n8atgc6,0,Cheap coding assistant,"I can fit a FP8 quant with enough kv cache for 2 131k instances of a 30B A3B on my dual 3090 build. With PCIe 3x16 interconnect and tensor parallel, I get a solid 70 tk/s.",I'm running considerably less powerful hardware lol - dual 3090 - that's quite a lot!,,,,,,,annotator_3
SAMPLE_0111,nh4cacd,1,No glm46 air version is coming out,"4.6 is awesome, it’s been better than GPT5 for me and vibe coding. I had it using the NPU on the M3U.",I've been running 4.5 MLX at 8 bit.,,,,,,,annotator_3
SAMPLE_0066,o8pte2l,0,Psa humans are scary stupid,,People outside just see the confidently generated text and take it as absolute truth without verifying anything.,,,,,,,annotator_3
SAMPLE_0025,my83j1m,1,Openai wins 200 million us defense contract,Thank God for that. Imagine if we didn't have Chinese models? ChatGPT would have cost $100 for GPT-4o level.,"We can all be pro-competition without actively taking the next step to gargle China's balls on this, right?",,,,,,,annotator_3
SAMPLE_0128,n9sd3zp,0,What are you using for agentic coding,,">Hopefully new DeepSeek V3.1 will be cheap and performant for agentic coding, so you can use that.",,,,,,,annotator_3
SAMPLE_0068,ocazkpz,0,Mistralsmall4119b2603heretic,,"Same for me, I wish it was good.",,,,,,,annotator_3
SAMPLE_0193,oe518x5,0,Im surprised nemotron ocr v2 isnt getting more,"Just tried to find *nemotron-ocr-v2 gguf* on GitHub and Hugging Face - no results found on either. 'No GGUF, no install' is the stance of many. Which could be part of the problem?","seems more like a tool call model, no reason to quantize a 1< gb model.",,,,,,,annotator_3
SAMPLE_0226,ne3mnaw,1,Gptoss jailbreak system prompt,,Next 80b yet for your use case?,,,,,,,annotator_3
SAMPLE_0095,od8wp7o,1,The lowend theory battle of 250 inference,Pascal and Volta will be dropped from CUDA 13. Ampere is the lowest imo. 3x RTX3060 12G are working great for me. Qwen 3.5 27B w 128k ctx at 14 tok/sec.,"Big context is key, and appreciate the t/s quote for your rig - you can get a LOT done with 14t/s on 27B. Agree that these old cards will be stuck in CUDA 12, their hardware is all CUDA 12 anyway",,,,,,,annotator_3
SAMPLE_0213,nss3od4,0,Im tired of claude limits whats the best,,don't listen to this guy 128gb vram could very nearly fit the newest Claude unquantized ( Google says you need 140gb for the model) so you could definitely get something very good running,,,,,,,annotator_3
SAMPLE_0177,oear3m2,1,So qwen35 or gemma 4,,Let's re-evaluate when Qwen 3.6 is opened.,,,,,,,annotator_3
SAMPLE_0174,ncdsp87,0,Which one yall think is the best for deep research,,I think you should give it a go it worked for me better than any major ai (I promise its not a sponsor) cause it uses Gemini and Chatgpt and Claude and to be that high on a benchmark K think it atleast deserves some recognition,,,,,,,annotator_3
SAMPLE_0288,o9hczou,2,If youre using nvidias nvfp4 of qwen35397 try a,,"KLD is how Nvidia does QAT/QAD, on all models, include MOEs.",,,,,,,annotator_3
SAMPLE_0158,oe8nqso,2,Should we switch from qwen 35 to gemma 4,,just like when gpt-oss was released and in their website it was running just fine.,,,,,,,annotator_3
SAMPLE_0057,ntk1xvi,0,How do you improve consistency in llmbased pdf,,> Vision model: Llama 3.3 (via Cloudflare AI) Did Llama 3.3 ever have an actual vision release?,,,,,,,annotator_3
SAMPLE_0140,o73vd2x,0,Technical question about moe and active parameters,,the 10b active figure only reduces the compute load per token..,,,,,,,annotator_3
SAMPLE_0267,ne4rv9l,0,Best way to get started with localllms,,"Download LM Studio, set it to power user mode, go to the discover tab, download Mistral Small 3.2 and start a chat.",,,,,,,annotator_3
SAMPLE_0020,n3vru92,1,Looking for help with terrible vllm performance,"vllm serve mistralai/Devstral-Small-2507 --tokenizer\_mode mistral --config\_format mistral --load\_format mistral --tool-call-parser mistral --enable-auto-tool-choice --tensor-parallel-size 4 --served-model-name devstral. vLLM is latest for both, so 0.9.2. Both instances are being installed via a \.",Like just 8k and see if that changes things.,,,,,,,annotator_3
SAMPLE_0295,mvpeat1,0,Smallest llm you tried thats legit,,"I've been partial to Phi 4 and the reasoning plus variant, but I expect R1 0528 Qwen3 8B to edge it out now.",,,,,,,annotator_3
SAMPLE_0258,o4el6ey,3,I built an mcp server that syncs cursor claude,,"It’s just one persistent memory that syncs the tools you're likely already using (Cursor, Claude, Windsurf).",,,,,,,annotator_3
SAMPLE_0296,o2ps8dh,1,Claude code with lm studio 041,,"With LM studio 0.4.1, claude code and glm-4.7-flash I don't need internet anymore.",,,,,,,annotator_3
SAMPLE_0203,obv7n1d,0,Qwen wants you to know,,The thing that really hurts monetarily is training.,,,,,,,annotator_3
SAMPLE_0215,ntzsscl,0,First ai implosion oracle,,Lol Oracle is definitely buying petabytes of DRAM and VRAM.,,,,,,,annotator_3
SAMPLE_0081,n6lkrxg,1,Qwen code qwen coder 30b 3a is insane,"Especially since 30A tool calling only works with Qwen-Coder. They decided to use XML for tool calling instead of JSON like all other models, so tool calling doesn't work in roo or cline.",Also regularly use all new 30b models with MCP and it also works flawlessly...,,,,,,,annotator_3
SAMPLE_0156,mxv21ac,3,What llm is everyone using in june 2025,"* DeepSeek V3 0324/DeepSeek R1 0528 * RTX 5090X2+4090x2+3090x2+A6000, 192GB RAM. * llamacpp and ikllamacpp * Coding and RP",How does the speed and code quality compare to 235b ?,,,,,,,annotator_3
SAMPLE_0181,obtdqwi,3,I checked strix halo ryzen ai max 395 performance,"Not sure am I blind and/or can't read those charts, but some those numbers doesn't quite look like worth that 2K price tag. Maybe you should test llama.cpp with vulkan back-end instead.","For example, the results here suggest the gap is not likely to be very large:",,,,,,,annotator_3
SAMPLE_0062,o89e18s,0,Is Qwen3.5-9B enough for Agentic Coding?,,I need more time to make it conclusive.,,,,,,,annotator_3
SAMPLE_0064,nwjbo2x,1,Model release genesis152minstruct exploring,"This is super cool but also my GPU is crying just reading about TTT overhead lol Adding MoE to this architecture soup would be wild though, the engineering complexity alone would be insane",The goal was more to explore adaptive behavior than raw throughput.,,,,,,,annotator_3
SAMPLE_0207,oa2uey5,0,Almost 10000 apple silicon benchmark runs,,Hope it will support gguf formats in the future.,,,,,,,annotator_3
SAMPLE_0144,n7anh1u,3,Ballin on a budget with gptoss120b destroys kimi,"I mean i get you .. bit if i ask it to do those same problems in a variety of languages it’s likely I’ll find one where that pattern reverses. The point being, using a model for something it is not designed for is not a good measure of its performance","In any case, gpt-oss-120b matches Qwen 3.2 thinking with a 22.5 faster average response time, but falls to DeepSeek-r1.",,,,,,,annotator_3
SAMPLE_0159,nqu5pfs,0,Need guidance for my finalyear thesis using small,,"For instance -- if the first step is ""classify user query as tech support, sales support, or operations suppprt"" -- you dont need GPT5, you need a 3B model.",,,,,,,annotator_3
SAMPLE_0108,ng9glxd,1,Why ollama qwen3coder30b still doesnt support,,"I have a laptop with RTX 4070m 8gb VRAM & Intel Ultra 9 185h 64gb RAM, the speeds start at around ~25 tps and drop to the ~10 once the context is in the 64K + range.",,,,,,,annotator_3
SAMPLE_0196,oatt5ax,0,Mistral small 4119b2603,,"Damn, I get that it's MoE with just 6B...",,,,,,,annotator_3
SAMPLE_0271,n9ekbdu,0,Drummers cydonia 24b v41 nothing like its,,Does this work well over 32k+ context?,,,,,,,annotator_3
SAMPLE_0102,nb8j70q,0,Ollama qwen330ba3b with continuedev performance,this is what i get when i run the llm with --verbose total duration: 4m42.138394293s load duration: 31.266299ms prompt eval count: 127 token(s) prompt eval duration: 1.058553932s prompt eval rate: 119.97 tokens/s eval count: 3337 token(s) eval duration: 4m41.048210587s eval rate: 11.87 tokens/s,> eval rate: 11.87 tokens/s Are you sure that you're using the 5090?,,,,,,,annotator_3
SAMPLE_0224,nevw84l,2,Should i switch from paying 220mo for ai to,,"As an indie dev, I’m done with training my own replacement: I no longer contribute to GitHub, Stackoverflow, …, I don’t upload my own code to Claude, ChatGPT, … for error checking or whatever.",,,,,,,annotator_3
SAMPLE_0147,nazqq0q,0,Running glm 45 2 bit quant on 80gb vram and 128gb,"clould you say what speed pp, tg you have at qwen3 235b?",My custom gguf gets 800ish tok/sec prefill and 45-50 tok/sec generation on ik-llama.cpp.,,,,,,,annotator_3
SAMPLE_0268,nds4blr,1,What model has high tps on compute poor hardware,"with that hardware, you will always be limited. best output u can get is probably qwen3 4b thinking 2507 q8. fast and smart. any MoE is out of the question for you with that vram, you'd be limited to RAM speeds and those are def <30t/s",The only caveat as I said is it needs decent understanding of math and decent capabilities to do logical puzzles and follow instructions.,,,,,,,annotator_3
