sample_id,record_id,sentence_index,thread_title,parent_context,sentence_text,human_has_quad,human_aspect,human_opinion,human_category_label,human_sentiment_label,human_quads_json,annotator
SAMPLE_0112,n084wdy,0,Progress stalled in nonreasoning opensource models,,"Yeah I guess, GPT 4.1 was the last big performance boost for me.",,,,,,,annotator_1
SAMPLE_0236,n3kqrpr,1,Kimi k2 on aider polyglot coding leaderboard,,"Regardless, they should have listed the actual consumed token volume, since inference can always get cheaper with time.",,,,,,,annotator_1
SAMPLE_0072,nendo7b,0,Gpt120b vs kimik2,,"absolutely.. kimi is my goto model today , used to be claude but its not the same anymore!",,,,,,,annotator_1
SAMPLE_0089,nukhaof,0,Nemotron 3 nano 30b is amazing tldr,,"That's interesting, it should entirely depend on how each specific model was trained.",,,,,,,annotator_1
SAMPLE_0129,nib2v0o,0,Glm 46 air is coming,,M4 Mac Studio runs 6-bit at 50 t/s text generation.,,,,,,,annotator_1
SAMPLE_0101,ni9oghl,0,Glm 46 air is coming,,"Even 64gb ram with a bit of vram works, not fast, but works",,,,,,,annotator_1
SAMPLE_0172,nup2dti,0,How do you all evaluate underrated models,,"For example Qwen 3 4b, I did not have high hopes.",,,,,,,annotator_1
SAMPLE_0021,n9qyz13,1,Qwen code cli has generous free usage option,,For certain projects that uses vite or other dev platform.,,,,,,,annotator_1
SAMPLE_0150,n3n9ubs,0,Any experiences running llms on a macbook,"Pretty good experience on M4 Max with 128Gb, Qwen3-30B-A3B (8bit quants). Speed on small inputs is around 40-50 toks/s, which is very very usable.",Qwen3-30B-A3B is the goat on my M3 Ultra (96 gb),,,,,,,annotator_1
SAMPLE_0139,n9lzgy1,6,When will lowcost chinese gpus hit the market,Yes but still new and speed like 7b performance like 14b and vram usage like 4b it's better then use 20b or 4b or 12b and moe structrue still improves because new,"but oh hey, it's 100t/s of worse outputs.. not as appealing.",,,,,,,annotator_1
SAMPLE_0093,oebkdw1,0,So qwen35 or gemma 4,,Gemma always wins for writing especially in the zombie apocalypse theme.,,,,,,,annotator_1
SAMPLE_0134,o0toowy,0,You have 64gb ram and 16gb vram internet is,Say what you will about Sam Altman but gpt-oss-120b really has been a gift to the world from him and openai even in the overly censored state it is in,huihui_ai/gpt-oss-abliterated:120b (on huggingface or OLLAMA) is a very good abliterated version.,,,,,,,annotator_1
SAMPLE_0227,mw9fxa7,1,Best general purpose llm for an 8gb 3060,,"Maybe you can also try gemma-3-12b-it-Q4\_K\_M, but it will split the load between VRAM and RAM, as it won't fit in your VRAM fully.",,,,,,,annotator_1
SAMPLE_0219,n399p4t,0,Does apple have the best value for money for,Best value is new Nvidia AI mini computer $4000 or $8000 But nothing can compete with how many tops and power it has,"It's only got 128GB though, which is nowhere near enough to run Deepseek or Kimi.",,,,,,,annotator_1
SAMPLE_0017,nlzwoaw,0,Oss alternative to open webui chatgptlike ui api,"Mostly just backend. When I need a frontend, usually llama-server's built-in UI.",Thanks.,,,,,,,annotator_1
SAMPLE_0194,n9zg38z,0,Pewdiepie builds a 140gb vram workstation guide,"He’s a multimillionaire, why wouldn’t he just build one that can run full deepseek or kimi",Then there's nowhere left to go.,,,,,,,annotator_1
SAMPLE_0110,n399xpi,0,Does apple have the best value for money for,,"If running the biggest model is the thing you wish for, Mac is best in terms of power consumption, ease of use etc., however: 3090 24gb VRAM with a whopping 936gb/s memory bandwidth, costs 600-700$ on average, you can get multiple as well to get to the VRAM needed.",,,,,,,annotator_1
SAMPLE_0204,oauy5kw,1,Mistral releases an official nvfp4 model,,I also have a 3090.,,,,,,,annotator_1
SAMPLE_0272,o52fpg0,0,I benchmarked 1 bit models on cpu and the results,,The naming is confusing too since llama.cpp has its own bitnet quant type which muddles things further.,,,,,,,annotator_1
SAMPLE_0115,nkaw71x,0,Gemma 4,,I'm hoping they can optimize their models more.. they still use way more memory than Mistral's models around similar sized models.,,,,,,,annotator_1
SAMPLE_0190,n710umx,0,Howto use qwen3coder or any other llm with claude,I thought qwen has their own CLI? Is Claude code better?,This video compares between the two.,,,,,,,annotator_1
SAMPLE_0291,o3rhqrt,2,Vllm qwenqwen3codernext,When I search for that error the results mention that your version of pytorch may need to be updated for Cuda 13. Also does nvcc --version return the same cuda version as nvidia-smi?,Gonna install the newest toolkit and driver now.,,,,,,,annotator_1
SAMPLE_0052,n6nt9et,3,Qwen code qwen coder 30b 3a is insane,,The tool calling failed.,,,,,,,annotator_1
SAMPLE_0234,mz2evg2,0,Deepseek guys opensource nanovllm,"This is not a DeepSeek release, this is a personal project of a DeepSeek employee. For people asking why use this over vLLM: there is no reason to. This is like nanoGPT, a good excercise and personal effort of someone to understand the core features of a state-of-the-art LLM inference engine.",My understanding is that it only supports qwen models right now.,,,,,,,annotator_1
SAMPLE_0094,odxmqf6,1,I feel like getting 128gb ram was a mistake for,"that tracks, strix halo sucks ass with dense models, but it's great with MoE. I get 30t/s with Qwen 3.5 35b (\~20t/s with 122B A10B) using llama-cpp",but unfortunately can also confirm that 35B-A3B is pretty stupid for agentic.,,,,,,,annotator_1
SAMPLE_0211,o78qbp9,0,Qwenqwen3535ba3b hugging face,,Great for any unified RAM system which would include almost all modern laptops.,,,,,,,annotator_1
SAMPLE_0060,n12mdl4,0,How to transcribe a video and summarize it,,"Then it can summarize, extract action items, or even chat with the transcript using GPT-4o.",,,,,,,annotator_1
SAMPLE_0294,o1rlx6n,3,I cant get ollama running through continue to,,"This will reuse the existing base model while applying the updated Modelfile metadata under a new model name, allowing you to extend the context window without duplicating the underlying model data.",,,,,,,annotator_1
SAMPLE_0216,n6z4dje,1,Quick qwen image gen with 40903060,,16gb and then nothing else fits.,,,,,,,annotator_1
SAMPLE_0164,nd3kix4,2,Aquif3moe 17b thinking,,My Verdict: On par with Phi or Qwen 4b maybe.,,,,,,,annotator_1
SAMPLE_0096,n42ko6s,0,Gpt4o updated has it been nerfed,They constantly update the weights so it's bound to change over time. If you want stability host a model yourself. Or use OpenRouter or whatever other providers for like DeepSeek and stuff.,"OpenAI and Anthropic both let you select and lock onto older checkpoints if you're an API user, so a small bit of credit to them there.",,,,,,,annotator_1
SAMPLE_0269,ocqizz4,0,Has anyone managed to run an offline agent,,Then you just compile llama.cpp and run llama-server in termux.,,,,,,,annotator_1
SAMPLE_0276,nl5ueyy,1,Glm 46 coding benchmarks,It's because thinking is not supported by glm for claude code yet. It's supported on the openai compatible end point but not in the anthropic one. The benchmarks are apparently with thinking turned on.,"I was shown thinking tokens earlier today but only for certain messages, maybe they're rolling out an update?",,,,,,,annotator_1
SAMPLE_0086,nvkijye,2,Ama with zai the lab behind glm47,,I really like that you are levering the Claude integration to keep things simple on your end.,,,,,,,annotator_1
SAMPLE_0038,oas5n6s,0,Use a local LLM as a subagent from Claude Code to reduce context use,"Claude's answer: Both work, but \~/.claude/commands is the conventional location for user-defined slash commands/skills. That's where Claude Code looks for them by default — any .md file there becomes available as /<filename>. \~/.claude/skills isn't a recognized convention in Claude Code for global commands. Per-project commands may use .claude/skills/ for that project. For global skills, use \~/.claude/commands/.",I wasn’t aware of that.,,,,,,,annotator_1
SAMPLE_0123,nwtxz38,3,My little decentralized locallama setup 216gb vram,"Do you have any benchmarks with only the Bosgame compared to Bosgame + the RTX? (in PP and TP). I was thinking of doing the same with a Minisforum MS-S1 MAX: using the APU for the MOE 100/120b, then adding an RTX with 24+ GB of VRAM for dense models or for slightly larger MOEs by combining RAM + RTX. For now, I’m still waiting for the Minisforum MS-S1 MAX before testing all of this.",I would like to run a similar setup of try to offload some layers to the eGPU for better pp speeds,,,,,,,annotator_1
SAMPLE_0160,o1xoayz,0,Glm 47 extreme level of pedantic nitpicking,"Q2 is brutal for this kind of work tbh, you're basically asking a heavily lobotomized model to do precise reasoning That said GLM does seem weirdly pedantic compared to Llama - might just be a training difference where it's been hammered to distinguish between stated vs implied actions. Could try bumping temp down to like 0.3-0.7 for QA stuff since you want consistency over creativity",As far as I know Q2 is too low for coding,,,,,,,annotator_1
SAMPLE_0262,n3m8f33,3,48gb not enough to run llama 70b 33 q4 k s,,Did you turn off sysmem fallback in nvidia driver settings?,,,,,,,annotator_1
SAMPLE_0107,o94q3w7,0,Qwen35 122b ud iq3 s 2xmi50 benchmark 120000,,I'm running the Q4\_K\_XL on a 7900 XTX and 6800 XT (40gb VRAM) with 31 expert layers offloading to CPU at 130k context and getting 13tok/s generation I feel like if you went up to the Q4\_K\_XL quant and offloaded around 20 layers with -ncmoe you would get better performance than with the IQ3 quant,,,,,,,annotator_1
SAMPLE_0133,oauztsn,0,Mistral releases an official nvfp4 model,"> The software is kinda fucky with rtx pro 6000 I’ve heard this, but what specifically are you talking about?",This post outlines much better than I ever could how much performance is being left on the table:,,,,,,,annotator_1
SAMPLE_0065,n4t0k2j,1,Is there a future for local models,,"Gemma4 12,27,70B coming!!!!",,,,,,,annotator_1
SAMPLE_0026,nuu55y2,1,Ive been experimenting with slms a lot recently,,Wasn't sure if I should go for llama-swap or if newest version of vanilla also now does swapping.,,,,,,,annotator_1
SAMPLE_0013,obrnmhz,2,Ik llamacpp gives 26x faster prompt processing on,,I get 2k t/s prompt processing with kobold with a 5090 and 4080 at q8.,,,,,,,annotator_1
SAMPLE_0298,o7mecgg,2,Recent experience with vllm ollama or lm studio,,"There was a recent paper about HetCCL, which if it works would allow rdma across nvd/amd.",,,,,,,annotator_1
SAMPLE_0126,na3v3bt,0,What is the best model to run locally with,"unfortunately it didn't work on an L40S with 48GB as it wasn't enough VRAM. I tried searching for a quantization that is compatible with SGLANG, but the repos that are quantize use the Mistral format that SGLang doesn't seem to be compatible with.","Yeah, 48GB isn't enough for the fp16 version, just barely.",,,,,,,annotator_1
SAMPLE_0187,n4orceh,0,Github repo use qwen3 coder or any other llm,,Would Devstral be a good option for claude code?,,,,,,,annotator_1
SAMPLE_0264,nwkivlm,1,Amd ai max 395 128gb or mac studio m2 ultra 128gb,"What about Strix Halo + PCIe riser with dGPU? I presume llama.cpp can utilize both the iGPU and the external one at the same time, the 4x lanes should not be a major botleneck for just inference.","Egpu via tb3 or tb4 , works If GPU Dock Turned on Post Boot.",,,,,,,annotator_1
SAMPLE_0186,nn6mxnf,2,Why the strix halo is a poor purchase for most,,"Strix Halo, DGX Spark the arguments for X090 + fast DRAM fall apart when your workloads don’t involve Llama.cpp.",,,,,,,annotator_1
SAMPLE_0138,ng8ikc3,1,Llama 33 on a 4090 quick feedback,,It will spread the load with a simple flag in the startup command.,,,,,,,annotator_1
SAMPLE_0008,n6havxu,2,Qwen3coder is bad at tool call while glm45 is,how do I run it in claude code? Does anyone have instructions? Very new to local models,"If you want to run glm in anything else like cline or roo code, you don't need ccr.",,,,,,,annotator_1
SAMPLE_0137,nu8gbx2,1,Im strong enough to admit that this bugs the hell,"How bad is the video gen speed? Something like the 14B WAN, 720p 5s? I'm planning to buy a Mac Studio in the future mostly to run LLMs and I heard it's horrible for videos, but is it 'takes an hour' bad or 'will overheat, explode and not gen anything in the end' bad?",I never see my MacStudio emit a single noise or heat.,,,,,,,annotator_1
SAMPLE_0214,nzh0abb,1,Is there any way to estimate tokens per second,Honestly the best bet is just to eyeball it based on similar sized models you've run before - those wild finetune names don't really change the inference speed much from the base model size If it's actually 24B params and you've got 24GB VRAM you're probably looking at like 15-25 t/s depending on your GPU but YMMV with quants,I should download just the bases and compare so I can have a general idea.,,,,,,,annotator_1
SAMPLE_0283,mxfz1zs,1,Open webui mcp,"Haven’t tried Qwen yet. As for the prompt, it uses a tool specific prompt when tools are available by default.",And I know that part of how the tool should be used is in the json but sometimes calling out its existence as part of the system prompt can support it being triggered.,,,,,,,annotator_1
SAMPLE_0246,o3icihp,2,Why is gptoss extremely restrictive,This has never been my experience with gpt-oss but I always use well crafted system prompts. I only use the 120b version though as the 20b can’t follow directions as well.,I use it this way and never got a refusal.,,,,,,,annotator_1
SAMPLE_0077,nhmu0tx,0,Wanting to stop using chatgpt and switch where to,? Both LM Studio and Ollama use llama.cpp under the hood. Is model support not identical?,"no, llama doesn't update their version of llama.cpp often, but lmstudio does.",,,,,,,annotator_1
SAMPLE_0058,obcsg5a,3,Minimaxm27 what do you think is the likelihood it,Although releasing the open weights helps validate the model and drive inference traffic to their own endpoint as most people can’t run it themselves anyway.,If people “try MiniMax” but it’s a Q2 GGUF then I’m not surprised to hear “it sucked”.,,,,,,,annotator_1
SAMPLE_0263,o3vp8l7,3,Qwen3codernext unsloth quants having issues,,Q8 unsloth with vulkan.,,,,,,,annotator_1
SAMPLE_0167,nqgj4fg,0,Zai glm 46 on mac studio 256gb for agentic coding,,I have the same setup.,,,,,,,annotator_1
SAMPLE_0222,o4aa1zb,0,Jetson orin nano super as a dedicated ai agent,,"For local LLMs on the 8GB Orin, youre looking at smaller models: Phi-3 mini, TinyLlama, Gemma 2B work well.",,,,,,,annotator_1
SAMPLE_0239,nhq0p50,1,Is mlx in itself somehow making the models a,"MLX convert from GGUF. I notice very little difference between the normal MLX quants and Q quants, and think the DWQ quants are often superior to Unsloth quants. Just my opinion though. If you do some googling you can find some comparison charts buried in MLX-LM issues and PR’s comparing their quants to GGUF. But I don’t know of any “official” comparison that actually puts the issue to rest.","Well, I have done some searching on the topic before posting but couldn't really find anything other than the odd anecdote.",,,,,,,annotator_1
SAMPLE_0173,nhv5mbi,2,Do you believe llama 5 will be open weights,,"Unless their best model is way better than those three, I don't think it moves the needle.",,,,,,,annotator_1
SAMPLE_0289,o95034a,2,I built a benchmark that tests coding llms on,"GPT 5.4 testing pretty late, not yet online. Would add more interest to the project if thinks were reliably current, imho.",It performs above 5.3 codex :),,,,,,,annotator_1
SAMPLE_0039,mw4z408,2,New embedding model qwen3embedding06bgguf just,,"Of course, averaged over a large sample.",,,,,,,annotator_1
SAMPLE_0270,o78rnwk,0,Trouble with qwen 35 with lmstudio,"This is llama.cpp backend not updated in LMStudio. I update it a few hours ago with plain llama.cpp, and now it works better. If you are stuck to LMStudio, wait for an update, or update llama.cpp in settings.",You can swap the LMstudio llama.cpp with the latest official llama.cpp github version?,,,,,,,annotator_1
SAMPLE_0300,o57iojy,2,Do anybody success opencode using qwen3nextcode,,and -ngl -1 means offload all layer on gpus(plus.,,,,,,,annotator_1
SAMPLE_0090,ng60vlq,1,My budget local llm rig how im running mixtral,,"I tried running Mixtral 8x7B on my 12GB 3060, let’s just say my PC turned into a space heater I’m saving up currently for something like this, but in the meantime I’m looking for recommendations on uncensored tools I can use without needing a GPU that are great for roleplay and making images",,,,,,,annotator_1
SAMPLE_0249,odb302c,0,What is the secret sauce claude has and why hasnt,,"Building a foundation model, especially one that doesn't rely on synthetic data from any clear 'target' you're aiming for is expensive in a way that few labs can recreate.",,,,,,,annotator_1
SAMPLE_0016,nwvbdoh,2,My little decentralized locallama setup 216gb vram,"llama-server -m ""model path"" --no-mmap -ngl 999 -c 40000 -dev cuda2,cuda0,cuda1,cuda3,rocm0 --threads 24 -ts 48,24,24,24,64",Excuse my ignorance,,,,,,,annotator_1
SAMPLE_0199,odyw28o,2,Gemma 4 and qwen35 on shared benchmarks,,and I'm totally underwhelmed by it.,,,,,,,annotator_1
SAMPLE_0063,n7mvq11,0,Gpt5 is not agi not the best investment by oai,">No local no care Actually ""care"". Because it is interesting and important knowing where are we related to closed models.",>we Oh do grow up someday and leave your fandom rhetoric behind,,,,,,,annotator_1
SAMPLE_0299,npgi92z,0,20000 epstein files in a single text file,,You can embed locally using Ollama with Nomic Embed Text:,,,,,,,annotator_1
SAMPLE_0247,nvcoaqp,0,Whats the point of hosting open source llm on,,"If I want to run a 120B model, i have to use cloud GPU.",,,,,,,annotator_1
SAMPLE_0042,n74y042,1,Some quants seem bugged but gptoss 20b passes the,,Not sure of the commenter,,,,,,,annotator_1
SAMPLE_0076,odh1xc9,0,Looking for an ollamafriendly nsfw thinking model,,"This is qwen3.5, the newest model for Qwen series, and probably the best.",,,,,,,annotator_1
SAMPLE_0047,n72covu,1,New llamacpp options make moe offloading trivial,,I have 9070 XT and 64GB of RAM.,,,,,,,annotator_1
SAMPLE_0195,na56yva,1,Dgx sparx alternatives for same price,I’ve been getting 78tps in my llama bench but ymmv.,I'm not surprised if I turn up on the low end of the metrics - just because I haven't tweaked things enough.,,,,,,,annotator_1
SAMPLE_0279,odhedmt,1,What is the secret sauce claude has and why hasnt,,"But a model doesnt need QUANTITY of data only, there is a sort of ceiling where cramming more data into it from the general pretraining big distribution won't make it smarter as much as targeted high quality data does.",,,,,,,annotator_1
SAMPLE_0054,nwu2qe4,0,Working examples of amd mi50 on proxmox 91 in a,,"I spent days trying to get mine working in a vm on esxi, never succeeded.",,,,,,,annotator_1
SAMPLE_0180,nzfwgib,0,Building a game where you talk to npcs using,,"I have tried qwen, gemma and llama for now.",,,,,,,annotator_1
SAMPLE_0170,od4t2xf,1,Why is lemonade not more discussed,,and it's entirely clear why you would want that over llama.,,,,,,,annotator_1
SAMPLE_0166,mw4uwzb,4,New embedding model qwen3embedding06bgguf just,,"they have also defeated gemini embeddings (which was the SOTA) till now, and both the 4b and 8b models beat it.",,,,,,,annotator_1
SAMPLE_0232,nevu79h,0,Should i switch from paying 220mo for ai to,,I’m assuming you’re a professional developer if you’re paying that much for Claude?,,,,,,,annotator_1
SAMPLE_0036,ncvd05e,1,Sonoma sky alpha vs sonoma dusk alpha vs qwen3 max,"At least for claude, the [system prompt]( tells it what model it is","For GROK-4-NEW_Jul-13-2025, first line is : *You are Grok 4 built by xAI.",,,,,,,annotator_1
SAMPLE_0019,myhqcv2,1,3090 4090 vs 5090 for conversional al gemma27b on,,I didn’t think about the cooling.,,,,,,,annotator_1
SAMPLE_0148,o0n3ecn,0,My gpu poor comrades glm 47 flash is your local,"I mean we have models that are superior to gpt-4 that we can run pin moderate hardware today. In 2023, we would have been saying sota locally. But the model quality keeps going up moving our perception of what is good with it. Like iPhone 1 vs iPhone 6",Well I saw in the other thread about bartowski's ggufs a complaint that the model fails with so I tried that prompt too.,,,,,,,annotator_1
SAMPLE_0253,n67sv8i,1,Ollama troubles,,There’s a web request you can send to the Ollama api to keep a particular model loaded,,,,,,,annotator_1
